Category,Brand_ID,Price_USD,Target_Gender,Main_Color,Main_Metal,Main_Gem
jewelry.pendant,1.0,54.66,f,white,gold,sapphire
jewelry.pendant,0.0,88.9,f,red,gold,diamond
jewelry.necklace,0.0,417.67,f,red,gold,amethyst
jewelry.earring,1.0,102.27,f,red,gold,diamond
jewelry.earring,0.0,150.55,f,red,gold,diamond
jewelry.earring,0.0,83.42,f,white,gold,fianit
jewelry.pendant,2.0,60.27,f,red,gold,pearl
jewelry.earring,1.0,217.4,f,red,gold,diamond
jewelry.ring,1.0,180.71,f,white,gold,diamond
jewelry.brooch,1.0,232.1,f,red,gold,fianit
jewelry.ring,1.0,203.92,f,yellow,gold,diamond
jewelry.earring,0.0,84.45,f,white,gold,fianit
jewelry.ring,0.0,254.45,f,red,gold,amethyst
jewelry.earring,0.0,251.15,f,red,gold,quartz
jewelry.ring,1.0,154.88,f,white,gold,diamond
jewelry.earring,1.0,102.6,f,yellow,gold,garnet
jewelry.pendant,1.0,61.51,f,yellow,gold,garnet
jewelry.bracelet,0.0,335.48,f,yellow,gold,garnet
jewelry.earring,2.0,616.3,f,red,gold,diamond
jewelry.earring,1.0,67.41,f,white,gold,fianit
jewelry.pendant,4.0,1.03,f,red,silver,fianit
jewelry.pendant,1.0,58.53,f,red,gold,sapphire
jewelry.earring,2.0,225.89,f,red,gold,garnet
jewelry.earring,1.0,109.45,f,red,gold,topaz
jewelry.earring,0.0,37.26,f,red,gold,diamond
jewelry.bracelet,1.0,130.71,f,red,gold,pearl
jewelry.pendant,4.0,1.03,f,red,silver,fianit
jewelry.pendant,0.0,1.05,f,red,silver,fianit
jewelry.bracelet,1.0,168.74,f,red,gold,fianit
jewelry.earring,1.0,1246.44,f,red,gold,diamond
jewelry.pendant,4.0,1.03,f,red,silver,fianit
jewelry.ring,1.0,147.92,f,red,gold,topaz
jewelry.ring,0.0,82.05,f,red,gold,topaz
jewelry.ring,0.0,211.6,f,white,gold,diamond
jewelry.earring,1.0,1424.07,f,red,gold,diamond
jewelry.earring,1.0,103.95,f,red,gold,diamond
jewelry.ring,1.0,472.47,f,red,gold,diamond
jewelry.ring,1.0,257.51,f,red,gold,diamond
jewelry.bracelet,0.0,200.56,f,red,gold,diamond
jewelry.earring,1.0,68.36,f,red,gold,fianit
jewelry.earring,1.0,141.62,f,red,gold,amethyst
jewelry.pendant,1.0,71.63,f,red,gold,topaz
jewelry.earring,1.0,175.96,f,red,gold,diamond
jewelry.earring,1.0,72.86,f,red,gold,fianit
jewelry.ring,0.0,254.45,f,red,gold,amethyst
jewelry.bracelet,5.0,152.77,f,red,silver,diamond
jewelry.earring,0.0,109.55,f,white,gold,topaz
jewelry.earring,1.0,212.84,f,red,gold,quartz_smoky
jewelry.earring,1.0,212.84,f,red,gold,quartz_smoky
jewelry.earring,0.0,107.73,f,white,gold,diamond
jewelry.earring,1.0,264.64,f,red,gold,fianit
jewelry.ring,3.0,244.82,f,red,silver,fianit
jewelry.pendant,1.0,247.85,f,red,gold,fianit
jewelry.ring,1.0,157.4,f,red,gold,diamond
jewelry.ring,1.0,81.33,f,red,gold,fianit
jewelry.brooch,1.0,232.1,f,red,gold,fianit
jewelry.ring,2.0,174.21,f,red,gold,ruby
